Mach-Number,temperature,f,Mic1,Mic2,Mic3,Mic4,Mic5,Mic6,Mic7,Mic8,Mic9,Mic10,Mic11,Mic12,Mic13,Mic14,Mic15,Mic16,Mic17,Mic18,Mic19,Mic20,Mic21,Mic22,Mic23,Mic24,case
 (8.454810495626821631e-02+0.000000000000000000e+00j), (2.960000000000000000e+02+0.000000000000000000e+00j), (1.010000000000000000e+03+0.000000000000000000e+00j), (5.002324581146240234e+00-7.948831319808959961e-01j), (1.873592972755432129e+00+3.050964117050170898e+00j), (9.061020016670227051e-01+3.865600109100341797e+00j), (-3.233940154314041138e-02+4.634222984313964844e+00j), (-9.752462506294250488e-01+5.211581230163574219e+00j), (-2.671148538589477539e+00+5.980496883392333984e+00j), (-3.352072238922119141e+00+6.060580730438232422e+00j), (-3.365054607391357422e+00+6.097002983093261719e+00j), (-4.451676845550537109e+00+5.776734828948974609e+00j), (-4.964241504669189453e+00+4.654562473297119141e+00j), (-4.942671775817871094e+00+4.667760372161865234e+00j), (-4.246344566345214844e+00+8.255540728569030762e-01j), (4.333616256713867188e+00+1.473950743675231934e+00j), (2.134217977523803711e+00-3.048468589782714844e+00j), (1.418064832687377930e+00-4.006747245788574219e+00j), (7.245078682899475098e-01-4.937520980834960938e+00j), (-1.461051311343908310e-02-5.680342674255371094e+00j), (-1.367774009704589844e+00-6.641840457916259766e+00j), (-1.969686865806579590e+00-6.757496833801269531e+00j), (-1.982879996299743652e+00-6.839109420776367188e+00j), (-2.951773881912231445e+00-6.502700328826904297e+00j), (-3.593457698822021484e+00-5.351792812347412109e+00j), (-3.557618856430053711e+00-5.350125789642333984e+00j), (-3.653138875961303711e+00-1.213719248771667480e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j)
 (8.454810495626821631e-02+0.000000000000000000e+00j), (2.960000000000000000e+02+0.000000000000000000e+00j), (1.010000000000000000e+03+0.000000000000000000e+00j), (2.531258821487426758e+00+1.885066628456115723e+00j), (-4.880442321300506592e-01+2.199076175689697266e+00j), (-1.261080026626586914e+00+2.137449979782104492e+00j), (-2.015359163284301758e+00+2.053072214126586914e+00j), (-2.678023815155029297e+00+1.887097477912902832e+00j), (-3.751716136932373047e+00+1.459302306175231934e+00j), (-4.091875076293945312e+00+1.185774683952331543e+00j), (-4.111505031585693359e+00+1.205193400382995605e+00j), (-4.463293075561523438e+00+5.640724897384643555e-01j), (-4.197802543640136719e+00-1.648688465356826782e-01j), (-4.202494144439697266e+00-1.561297327280044556e-01j), (-2.229504108428955078e+00-1.539408564567565918e+00j), (1.316446661949157715e+00+2.517359733581542969e+00j), (2.320847988128662109e+00-4.022163748741149902e-01j), (2.416151046752929688e+00-1.141907334327697754e+00j), (2.502144098281860352e+00-1.845065593719482422e+00j), (2.500335931777954102e+00-2.490994215011596680e+00j), (2.306083679199218750e+00-3.495108604431152344e+00j), (2.067878961563110352e+00-3.811151266098022461e+00j), (2.102801084518432617e+00-3.852608203887939453e+00j), (1.506713747978210449e+00-4.130490303039550781e+00j), (7.064591646194458008e-01-3.902017116546630859e+00j), (7.252019047737121582e-01-3.882687330245971680e+00j), (-1.147789597511291504e+00-2.121452808380126953e+00j), (1.000000000000000000e+00+0.000000000000000000e+00j)
 (8.454810495626821631e-02+0.000000000000000000e+00j), (2.960000000000000000e+02+0.000000000000000000e+00j), (1.010000000000000000e+03+0.000000000000000000e+00j), (2.332269191741943359e+00+1.382464356720447540e-02j), (6.234716773033142090e-01+1.476563572883605957e+00j), (1.266289949417114258e-01+1.767480015754699707e+00j), (-3.637849688529968262e-01+2.035910844802856445e+00j), (-8.317492008209228516e-01+2.222316265106201172e+00j), (-1.658884406089782715e+00+2.445084571838378906e+00j), (-1.986638188362121582e+00+2.434508323669433594e+00j), (-1.986936092376708984e+00+2.454704046249389648e+00j), (-2.454348325729370117e+00+2.236749887466430664e+00j), (-2.603133678436279297e+00+1.712750792503356934e+00j), (-2.605667591094970703e+00+1.710855484008789062e+00j), (-1.980628490447998047e+00+6.925988942384719849e-02j), (1.801868438720703125e+00+9.642158746719360352e-01j), (1.167242765426635742e+00-1.243761420249938965e+00j), (9.216352701187133789e-01-1.723942399024963379e+00j), (6.864978671073913574e-01-2.189656019210815430e+00j), (4.101713597774505615e-01-2.577723264694213867e+00j), (-1.069817319512367249e-01-3.100380897521972656e+00j), (-3.643698394298553467e-01-3.189564943313598633e+00j), (-3.599633574485778809e-01-3.228246688842773438e+00j), (-8.168179988861083984e-01-3.139538526535034180e+00j), (-1.188907623291015625e+00-2.657598972320556641e+00j), (-1.174053311347961426e+00-2.653594970703125000e+00j), (-1.526425600051879883e+00-7.824818491935729980e-01j), (2.000000000000000000e+00+0.000000000000000000e+00j)
 (8.454810495626821631e-02+0.000000000000000000e+00j), (2.960000000000000000e+02+0.000000000000000000e+00j), (1.010000000000000000e+03+0.000000000000000000e+00j), (-3.686555624008178711e-01-2.578576326370239258e+00j), (1.558933854103088379e+00-8.814391493797302246e-01j), (1.975780010223388672e+00-3.699589967727661133e-01j), (2.356683015823364258e+00+1.349920034408569336e-01j), (2.649533033370971680e+00+6.227059960365295410e-01j), (3.030063390731811523e+00+1.502357244491577148e+00j), (3.069731473922729492e+00+1.849244236946105957e+00j), (3.093018770217895508e+00+1.856471061706542969e+00j), (2.914705514907836914e+00+2.406200170516967773e+00j), (2.347552299499511719e+00+2.626942396163940430e+00j), (2.353740930557250977e+00+2.633543252944946289e+00j), (3.847899138927459717e-01+2.160305976867675781e+00j), (8.388330340385437012e-01-2.165329694747924805e+00j), (-1.533903360366821289e+00-1.086524009704589844e+00j), (-2.045615434646606445e+00-7.370935082435607910e-01j), (-2.542061805725097656e+00-3.979085981845855713e-01j), (-2.939534664154052734e+00-2.355369366705417633e-02j), (-3.467875003814697266e+00+6.311015486717224121e-01j), (-3.521574974060058594e+00+9.382218122482299805e-01j), (-3.569923877716064453e+00+9.412866830825805664e-01j), (-3.406752109527587891e+00+1.427797913551330566e+00j), (-2.819765806198120117e+00+1.758743643760681152e+00j), (-2.814203977584838867e+00+1.729497313499450684e+00j), (-6.735051870346069336e-01+1.821823596954345703e+00j), (3.000000000000000000e+00+0.000000000000000000e+00j)
 (8.454810495626821631e-02+0.000000000000000000e+00j), (2.960000000000000000e+02+0.000000000000000000e+00j), (1.010000000000000000e+03+0.000000000000000000e+00j), (-2.648585081100463867e+00-1.870316386222839355e+00j), (5.695632100105285645e-01-2.144492149353027344e+00j), (1.381600022315979004e+00-2.075050115585327148e+00j), (2.180662631988525391e+00-1.993669390678405762e+00j), (2.878326416015625000e+00-1.837159752845764160e+00j), (4.002652645111083984e+00-1.434458374977111816e+00j), (4.349372863769531250e+00-1.173670768737792969e+00j), (4.370584964752197266e+00-1.172692775726318359e+00j), (4.714218616485595703e+00-5.818929672241210938e-01j), (4.413958549499511719e+00+1.293789893388748169e-01j), (4.415650367736816406e+00+1.325500607490539551e-01j), (2.275761365890502930e+00+1.491253733634948730e+00j), (-1.205889105796813965e+00-2.636607646942138672e+00j), (-2.277237653732299805e+00+4.510020017623901367e-01j), (-2.398703575134277344e+00+1.223062276840209961e+00j), (-2.535422563552856445e+00+1.962790608406066895e+00j), (-2.548081636428833008e+00+2.640498399734497070e+00j), (-2.412180662155151367e+00+3.694854497909545898e+00j), (-2.199909210205078125e+00+4.018147468566894531e+00j), (-2.232193470001220703e+00+4.059236526489257812e+00j), (-1.670199036598205566e+00+4.328589916229248047e+00j), (-8.894901275634765625e-01+4.079805850982666016e+00j), (-8.873800039291381836e-01+4.059321880340576172e+00j), (1.032163143157958984e+00+2.168669223785400391e+00j), (4.000000000000000000e+00+0.000000000000000000e+00j)
 (8.454810495626821631e-02+0.000000000000000000e+00j), (2.960000000000000000e+02+0.000000000000000000e+00j), (1.010000000000000000e+03+0.000000000000000000e+00j), (1.495263814926147461e+00+6.578440666198730469e-01j), (-8.120509237051010132e-02+1.140670418739318848e+00j), (-4.896399974822998047e-01+1.195960044860839844e+00j), (-8.929873704910278320e-01+1.235025525093078613e+00j), (-1.253189921379089355e+00+1.231951713562011719e+00j), (-1.852307796478271484e+00+1.144839525222778320e+00j), (-2.050161123275756836e+00+1.047695279121398926e+00j), (-2.061048746109008789e+00+1.057764768600463867e+00j), (-2.281356811523437500e+00+7.903121113777160645e-01j), (-2.201592445373535156e+00+3.945077359676361084e-01j), (-2.203728199005126953e+00+3.965172767639160156e-01j), (-1.271439075469970703e+00-5.153957605361938477e-01j), (8.914702534675598145e-01+1.206882119178771973e+00j), (1.093011498451232910e+00-4.455888569355010986e-01j), (1.067070960998535156e+00-8.436869978904724121e-01j), (1.052035093307495117e+00-1.231849789619445801e+00j), (9.836722612380981445e-01-1.575190305709838867e+00j), (8.019712567329406738e-01-2.089302062988281250e+00j), (6.593105792999267578e-01-2.233169078826904297e+00j), (6.739849448204040527e-01-2.254943847656250000e+00j), (3.594697117805480957e-01-2.340734004974365234e+00j), (-4.602209664881229401e-03-2.136841058731079102e+00j), (8.312169462442398071e-03-2.126555681228637695e+00j), (-7.456966638565063477e-01-9.930399656295776367e-01j), (5.000000000000000000e+00+0.000000000000000000e+00j)
 (8.454810495626821631e-02+0.000000000000000000e+00j), (2.960000000000000000e+02+0.000000000000000000e+00j), (1.010000000000000000e+03+0.000000000000000000e+00j), (-8.523535728454589844e-01-3.468257665634155273e+00j), (2.027832984924316406e+00-1.451330065727233887e+00j), (2.654949903488159180e+00-8.147879838943481445e-01j), (3.245143175125122070e+00-1.876785010099411011e-01j), (3.714277744293212891e+00+4.407996237277984619e-01j), (4.352482318878173828e+00+1.591340780258178711e+00j), (4.450362205505371094e+00+2.066426277160644531e+00j), (4.476950645446777344e+00+2.068020820617675781e+00j), (4.322253227233886719e+00+2.840840101242065430e+00j), (3.561550617218017578e+00+3.246174335479736328e+00j), (3.566279649734497070e+00+3.239189386367797852e+00j), (8.182069063186645508e-01+2.919896364212036133e+00j), (7.738510966300964355e-01-3.093134880065917969e+00j), (-2.284456968307495117e+00-1.263597488403320312e+00j), (-2.917352676391601562e+00-7.048118710517883301e-01j), (-3.545652151107788086e+00-1.648132801055908203e-01j), (-4.028905391693115234e+00+3.845669925212860107e-01j), (-4.612523078918457031e+00+1.390268325805664062e+00j), (-4.656206130981445312e+00+1.813293576240539551e+00j), (-4.719155311584472656e+00+1.826970338821411133e+00j), (-4.412699222564697266e+00+2.468003273010253906e+00j), (-3.554197072982788086e+00+2.835386753082275391e+00j), (-3.547516107559204102e+00+2.799006700515747070e+00j), (-6.042357087135314941e-01+2.600025653839111328e+00j), (6.000000000000000000e+00+0.000000000000000000e+00j)
 (8.454810495626821631e-02+0.000000000000000000e+00j), (2.960000000000000000e+02+0.000000000000000000e+00j), (1.010000000000000000e+03+0.000000000000000000e+00j), (-9.852491617202758789e-01+6.670748591423034668e-01j), (-6.782167553901672363e-01-4.994959533214569092e-01j), (-5.565329790115356445e-01-7.793989777565002441e-01j), (-4.333727955818176270e-01-1.047607541084289551e+00j), (-2.877601385116577148e-01-1.263919949531555176e+00j), (-5.137274973094463348e-03-1.602296590805053711e+00j), (1.297974288463592529e-01-1.685929417610168457e+00j), (1.250140815973281860e-01-1.703356027603149414e+00j), (3.848694860935211182e-01-1.724827408790588379e+00j), (5.903024077415466309e-01-1.521890401840209961e+00j), (5.915299654006958008e-01-1.523449420928955078e+00j), (8.103400468826293945e-01-5.818917155265808105e-01j), (-1.107016205787658691e+00+9.443935006856918335e-02j), (-1.541458666324615479e-01+8.466608524322509766e-01j), (1.112614646553993225e-01+9.931681752204895020e-01j), (3.612982928752899170e-01+1.119658589363098145e+00j), (6.004523634910583496e-01+1.213730931282043457e+00j), (9.959722757339477539e-01+1.300072073936462402e+00j), (1.143247008323669434e+00+1.265036463737487793e+00j), (1.151351571083068848e+00+1.283707737922668457e+00j), (1.333755493164062500e+00+1.118670940399169922e+00j), (1.348743200302124023e+00+8.199141621589660645e-01j), (1.332823991775512695e+00+8.250677585601806641e-01j), (9.202566742897033691e-01-7.628928869962692261e-02j), (7.000000000000000000e+00+0.000000000000000000e+00j)
 (8.454810495626821631e-02+0.000000000000000000e+00j), (2.960000000000000000e+02+0.000000000000000000e+00j), (1.010000000000000000e+03+0.000000000000000000e+00j), (2.274753570556640625e+00+3.457409858703613281e+00j), (5.178776264190673828e+00+3.320823311805725098e-01j), (5.443069934844970703e+00-6.014090180397033691e-01j), (5.467908382415771484e+00-1.518634915351867676e+00j), (5.281032562255859375e+00-2.371294975280761719e+00j), (4.375370025634765625e+00-3.764538526535034180e+00j), (3.608216762542724609e+00-4.270403861999511719e+00j), (3.675119400024414062e+00-4.251858711242675781e+00j), (1.826616644859313965e+00-4.678842544555664062e+00j), (-3.094577193260192871e-01-4.418578147888183594e+00j), (-3.028174638748168945e-01-4.399109363555908203e+00j), (-3.921660900115966797e+00-1.734460473060607910e+00j), (1.184574514627456665e-01-5.769489288330078125e+00j), (3.224054813385009766e+00-3.375283002853393555e+00j), (3.673714399337768555e+00-2.326313972473144531e+00j), (4.027481079101562500e+00-1.229334115982055664e+00j), (4.214060306549072266e+00-6.964811682701110840e-02j), (3.938328504562377930e+00+2.217825889587402344e+00j), (3.619173526763916016e+00+3.244171380996704102e+00j), (3.586839199066162109e+00+3.250269889831542969e+00j), (2.467685937881469727e+00+4.919893264770507812e+00j), (8.218655586242675781e-01+5.819046020507812500e+00j), (7.987257838249206543e-01+5.837793350219726562e+00j), (-2.521049261093139648e+00+4.945757865905761719e+00j), (8.000000000000000000e+00+0.000000000000000000e+00j)
 (8.454810495626821631e-02+0.000000000000000000e+00j), (2.960000000000000000e+02+0.000000000000000000e+00j), (1.010000000000000000e+03+0.000000000000000000e+00j), (2.734229564666748047e+00-1.057981252670288086e+00j), (1.131655216217041016e+00-3.543499231338500977e+00j), (5.421220064163208008e-01-3.865410089492797852e+00j), (-6.945009529590606689e-02-4.027903079986572266e+00j), (-6.761360168457031250e-01-4.026706695556640625e+00j), (-1.775411963462829590e+00-3.607441663742065430e+00j), (-2.251914262771606445e+00-3.162015438079833984e+00j), (-2.231407880783081055e+00-3.194729089736938477e+00j), (-2.837826728820800781e+00-1.982991814613342285e+00j), (-3.021170377731323242e+00-4.647452533245086670e-01j), (-3.006784677505493164e+00-4.656092524528503418e-01j), (-1.825236320495605469e+00+2.466865539550781250e+00j), (-3.949638843536376953e+00-1.072998762130737305e+00j), (-1.852247714996337891e+00-2.797152042388916016e+00j), (-1.077553987503051758e+00-2.936233758926391602e+00j), (-2.715164721012115479e-01-2.977486848831176758e+00j), (5.495508909225463867e-01-2.897627592086791992e+00j), (2.068163633346557617e+00-2.332524299621582031e+00j), (2.720345973968505859e+00-1.936039090156555176e+00j), (2.729492425918579102e+00-1.905482292175292969e+00j), (3.700157880783081055e+00-8.541086912155151367e-01j), (4.067628860473632812e+00+4.340595304965972900e-01j), (4.085190773010253906e+00+4.580162465572357178e-01j), (2.993461132049560547e+00+2.587623596191406250e+00j), (9.000000000000000000e+00+0.000000000000000000e+00j)
