# Mach-Number upstream,Mach-Number downstream,temperature upstream,temperature downstream,f,Mic1 US,Mic2 US,Mic3 US,Mic1 Liner,Mic2 Liner,Mic3 Liner,Mic4 Liner,Mic5 Liner,Mic6 Liner,Mic7 Liner,Mic8 Liner,Mic9 Liner,Mic10 Liner,Mic1 DS,Mic2 DS,Mic3 DS,case
 (2.500000000000000000e-01+0.000000000000000000e+00j), (2.500000000000000000e-01+0.000000000000000000e+00j), (2.951499938964843750e+02+0.000000000000000000e+00j), (2.951499938964843750e+02+0.000000000000000000e+00j), (1.000000000000000000e+03+0.000000000000000000e+00j), (-1.151633739471435547e+00+1.553106959909200668e-02j), (1.052571535110473633e+00+6.944938302040100098e-01j), (6.269419193267822266e-01-5.411025509238243103e-02j), (-4.939775466918945312e-01-5.822244286537170410e-01j), (-6.270631551742553711e-01+5.498226284980773926e-01j), (-7.140997052192687988e-01+1.163683056831359863e+00j), (-3.765354454517364502e-01+8.600981831550598145e-01j), (3.662795722484588623e-01+6.613949779421091080e-03j), (1.131049513816833496e+00-4.735464751720428467e-01j), (1.155634641647338867e+00-4.096961021423339844e-01j), (2.075887173414230347e-01-1.718845069408416748e-01j), (-9.733539819717407227e-01-1.971302181482315063e-01j), (-1.333217859268188477e+00-4.589637219905853271e-01j), (3.154003620147705078e-01+8.795989155769348145e-01j), (-6.223080307245254517e-02-5.757402181625366211e-01j), (-8.192904591560363770e-01+8.503113389015197754e-01j), (0.000000000000000000e+00+0.000000000000000000e+00j)
 (2.500000000000000000e-01+0.000000000000000000e+00j), (2.500000000000000000e-01+0.000000000000000000e+00j), (2.951499938964843750e+02+0.000000000000000000e+00j), (2.951499938964843750e+02+0.000000000000000000e+00j), (1.000000000000000000e+03+0.000000000000000000e+00j), (-8.426704406738281250e-01-1.353966355323791504e+00j), (-7.780870795249938965e-02+1.742600083351135254e+00j), (5.235877633094787598e-01+7.115866541862487793e-01j), (3.365812599658966064e-01-1.010198473930358887e+00j), (-1.105127811431884766e+00-3.548692762851715088e-01j), (-1.896752119064331055e+00-1.549442205578088760e-02j), (-1.303746104240417480e+00+1.844379454851150513e-01j), (2.380371391773223877e-01+4.629130959510803223e-01j), (1.375050187110900879e+00+1.023150444030761719e+00j), (1.321854829788208008e+00+1.076518416404724121e+00j), (3.716916143894195557e-01+1.166719049215316772e-01j), (-4.445141851902008057e-01-1.287392616271972656e+00j), (-4.054419994354248047e-01-1.904035329818725586e+00j), (-7.984917759895324707e-01+9.875165820121765137e-01j), (6.400649547576904297e-01-4.714127779006958008e-01j), (-1.588384509086608887e+00-3.765070736408233643e-01j), (1.000000000000000000e+00+0.000000000000000000e+00j)
 (2.500000000000000000e-01+0.000000000000000000e+00j), (2.500000000000000000e-01+0.000000000000000000e+00j), (2.951499938964843750e+02+0.000000000000000000e+00j), (2.951499938964843750e+02+0.000000000000000000e+00j), (1.000000000000000000e+03+0.000000000000000000e+00j), (-5.178632736206054688e-01+3.062668442726135254e-01j), (3.461453691124916077e-02+6.000789403915405273e-01j), (-1.135992884635925293e+00+5.417292714118957520e-01j), (1.221269607543945312e+00+1.647641658782958984e-01j), (8.177909851074218750e-01+9.276064038276672363e-01j), (-4.130905866622924805e-01+6.427328586578369141e-01j), (-1.122874855995178223e+00-5.728421211242675781e-01j), (-4.404713213443756104e-01-1.494918346405029297e+00j), (8.361087441444396973e-01-9.167923927307128906e-01j), (1.003525733947753906e+00+7.680074572563171387e-01j), (-9.771516919136047363e-02+1.744925975799560547e+00j), (-1.326846957206726074e+00+9.198842048645019531e-01j), (-1.041483521461486816e+00-9.683470129966735840e-01j), (-1.265719771385192871e+00+1.050356149673461914e+00j), (-1.448458194732666016e+00-7.725395560264587402e-01j), (-5.875310897827148438e-01+1.346734762191772461e+00j), (2.000000000000000000e+00+0.000000000000000000e+00j)
 (2.500000000000000000e-01+0.000000000000000000e+00j), (2.500000000000000000e-01+0.000000000000000000e+00j), (2.951499938964843750e+02+0.000000000000000000e+00j), (2.951499938964843750e+02+0.000000000000000000e+00j), (1.000000000000000000e+03+0.000000000000000000e+00j), (1.185672432184219360e-01-2.510317564010620117e-01j), (-1.613746434450149536e-01-2.121675312519073486e-01j), (2.911002933979034424e-01-4.963547587394714355e-01j), (-5.024501681327819824e-01+2.514535486698150635e-01j), (-5.480887889862060547e-01-1.398431509733200073e-01j), (-1.507524680346250534e-02-3.506753146648406982e-01j), (5.665850639343261719e-01-7.537720352411270142e-02j), (5.484014749526977539e-01+4.398951232433319092e-01j), (-8.591932803392410278e-02+5.583296418190002441e-01j), (-5.755290985107421875e-01-3.049572184681892395e-02j), (-4.119919538497924805e-01-6.767739057540893555e-01j), (2.571595311164855957e-01-6.916316747665405273e-01j), (6.382543444633483887e-01+9.080457687377929688e-02j), (2.047529220581054688e-01-7.198547720909118652e-01j), (7.548488378524780273e-01-7.648511230945587158e-02j), (-1.397193819284439087e-01-6.508729457855224609e-01j), (3.000000000000000000e+00+0.000000000000000000e+00j)
 (2.500000000000000000e-01+0.000000000000000000e+00j), (2.500000000000000000e-01+0.000000000000000000e+00j), (2.951499938964843750e+02+0.000000000000000000e+00j), (2.951499938964843750e+02+0.000000000000000000e+00j), (1.010000000000000000e+03+0.000000000000000000e+00j), (-9.330171346664428711e-01+3.226847648620605469e-01j), (1.240231871604919434e+00+3.066343665122985840e-01j), (7.982185482978820801e-01-1.010471209883689880e-01j), (-7.218385338783264160e-01-6.211173534393310547e-01j), (-3.909208178520202637e-01+4.675379395484924316e-01j), (-2.095825225114822388e-01+1.271078348159790039e+00j), (-6.402285397052764893e-02+1.116394519805908203e+00j), (2.041520178318023682e-01+9.705720841884613037e-02j), (7.267108559608459473e-01-8.033961653709411621e-01j), (9.544223546981811523e-01-9.090941548347473145e-01j), (3.258657753467559814e-01-3.542759716510772705e-01j), (-7.741456031799316406e-01+1.649529039859771729e-01j), (-1.390881419181823730e+00+1.564926952123641968e-01j), (7.246596217155456543e-01+7.275460362434387207e-01j), (-2.395749092102050781e-01-3.834107816219329834e-01j), (-3.743869662284851074e-01+1.064905166625976562e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j)
 (2.500000000000000000e-01+0.000000000000000000e+00j), (2.500000000000000000e-01+0.000000000000000000e+00j), (2.951499938964843750e+02+0.000000000000000000e+00j), (2.951499938964843750e+02+0.000000000000000000e+00j), (1.010000000000000000e+03+0.000000000000000000e+00j), (-1.043643355369567871e+00-1.035358309745788574e+00j), (3.960289955139160156e-01+1.855966567993164062e+00j), (6.484582424163818359e-01+1.009053468704223633e+00j), (3.630080521106719971e-01-1.376867890357971191e+00j), (-8.788825273513793945e-01-2.052497118711471558e-01j), (-1.848771095275878906e+00+5.526442527770996094e-01j), (-1.541702747344970703e+00+6.396579146385192871e-01j), (-1.286754477769136429e-02+3.209101259708404541e-01j), (1.541407346725463867e+00+4.601393640041351318e-01j), (1.842191338539123535e+00+6.811620593070983887e-01j), (6.939127445220947266e-01+2.066574394702911377e-01j), (-7.380917072296142578e-01-9.222468733787536621e-01j), (-1.127547979354858398e+00-1.765547990798950195e+00j), (-4.976399242877960205e-01+1.465409159660339355e+00j), (3.609253466129302979e-01-5.477600693702697754e-01j), (-1.661740779876708984e+00+1.819387227296829224e-01j), (1.000000000000000000e+00+0.000000000000000000e+00j)
 (2.500000000000000000e-01+0.000000000000000000e+00j), (2.500000000000000000e-01+0.000000000000000000e+00j), (2.951499938964843750e+02+0.000000000000000000e+00j), (2.951499938964843750e+02+0.000000000000000000e+00j), (1.010000000000000000e+03+0.000000000000000000e+00j), (-3.945249021053314209e-01+4.528586864471435547e-01j), (2.197704017162322998e-01+6.448894739151000977e-01j), (-9.276038408279418945e-01+9.493857622146606445e-01j), (1.307044744491577148e+00-2.534618377685546875e-01j), (1.019541621208190918e+00+6.242884993553161621e-01j), (-3.554470241069793701e-01+6.920714378356933594e-01j), (-1.364745616912841797e+00-2.885232269763946533e-01j), (-8.276410102844238281e-01-1.338386297225952148e+00j), (6.859273314476013184e-01-9.766531586647033691e-01j), (1.240329742431640625e+00+6.757045984268188477e-01j), (3.175234794616699219e-01+1.784096002578735352e+00j), (-1.109021663665771484e+00+1.047881484031677246e+00j), (-1.168796658515930176e+00-9.650628566741943359e-01j), (-1.234926342964172363e+00+1.309990286827087402e+00j), (-1.458958745002746582e+00-5.863606333732604980e-01j), (-6.184106469154357910e-01+1.274160265922546387e+00j), (2.000000000000000000e+00+0.000000000000000000e+00j)
 (2.500000000000000000e-01+0.000000000000000000e+00j), (2.500000000000000000e-01+0.000000000000000000e+00j), (2.951499938964843750e+02+0.000000000000000000e+00j), (2.951499938964843750e+02+0.000000000000000000e+00j), (1.010000000000000000e+03+0.000000000000000000e+00j), (-1.273338310420513153e-02-2.591594159603118896e-01j), (-2.580344676971435547e-01-1.278087794780731201e-01j), (1.512827537953853607e-02-5.750731229782104492e-01j), (-3.357610106468200684e-01+4.616013765335083008e-01j), (-5.078489780426025391e-01+1.019822359085083008e-01j), (-9.748205542564392090e-02-3.254225552082061768e-01j), (5.174888372421264648e-01-3.104427456855773926e-01j), (6.458207964897155762e-01+1.720464825630187988e-01j), (8.286932855844497681e-02+5.001248121261596680e-01j), (-5.865547657012939453e-01+1.542524397373199463e-01j), (-6.252396106719970703e-01-4.670953452587127686e-01j), (3.892870619893074036e-02-6.566540002822875977e-01j), (6.516982316970825195e-01-4.676504433155059814e-02j), (-1.384719158522784710e-03-7.863657474517822266e-01j), (6.380881667137145996e-01-2.406805753707885742e-01j), (-1.817122846841812134e-01-5.814158916473388672e-01j), (3.000000000000000000e+00+0.000000000000000000e+00j)
 (2.500000000000000000e-01+0.000000000000000000e+00j), (2.500000000000000000e-01+0.000000000000000000e+00j), (2.951499938964843750e+02+0.000000000000000000e+00j), (2.951499938964843750e+02+0.000000000000000000e+00j), (1.020000000000000000e+03+0.000000000000000000e+00j), (-6.320891976356506348e-01+3.935170173645019531e-01j), (1.230995655059814453e+00-1.474588364362716675e-01j), (1.018075227737426758e+00-3.694274723529815674e-01j), (-1.108601927757263184e+00-4.843590557575225830e-01j), (-3.613332211971282959e-01+3.024453520774841309e-01j), (2.740668058395385742e-01+1.139381408691406250e+00j), (4.438117146492004395e-01+1.231489300727844238e+00j), (2.383381873369216919e-01+3.249201476573944092e-01j), (2.706789970397949219e-01-8.445198535919189453e-01j), (4.856080114841461182e-01-1.328123450279235840e+00j), (2.849008142948150635e-01-7.163639068603515625e-01j), (-4.398366808891296387e-01+3.380905389785766602e-01j), (-1.169283509254455566e+00+7.924050092697143555e-01j), (1.125782370567321777e+00+3.656522333621978760e-01j), (-2.481066435575485229e-01-1.621704846620559692e-01j), (1.266602873802185059e-01+1.084823846817016602e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j)
 (2.500000000000000000e-01+0.000000000000000000e+00j), (2.500000000000000000e-01+0.000000000000000000e+00j), (2.951499938964843750e+02+0.000000000000000000e+00j), (2.951499938964843750e+02+0.000000000000000000e+00j), (1.020000000000000000e+03+0.000000000000000000e+00j), (-1.077021434903144836e-01-2.542481720447540283e-01j), (-3.401741087436676025e-01-5.898157134652137756e-02j), (-2.327779829502105713e-01-5.933105945587158203e-01j), (-1.588236242532730103e-01+6.244748830795288086e-01j), (-4.547381699085235596e-01+2.617887258529663086e-01j), (-1.550867706537246704e-01-3.610770702362060547e-01j), (4.621626734733581543e-01-5.289200544357299805e-01j), (7.172168493270874023e-01-3.295905143022537231e-02j), (1.674383282661437988e-01+5.398727655410766602e-01j), (-6.541720032691955566e-01+3.332154154777526855e-01j), (-7.807935476303100586e-01-3.127602934837341309e-01j), (-4.812411218881607056e-02-6.643762588500976562e-01j), (7.601647973060607910e-01-1.369528919458389282e-01j), (-1.615923047065734863e-01-8.878387808799743652e-01j), (6.014592051506042480e-01-2.974826693534851074e-01j), (-1.520947515964508057e-01-6.499786376953125000e-01j), (1.000000000000000000e+00+0.000000000000000000e+00j)
 (2.500000000000000000e-01+0.000000000000000000e+00j), (2.500000000000000000e-01+0.000000000000000000e+00j), (2.951499938964843750e+02+0.000000000000000000e+00j), (2.951499938964843750e+02+0.000000000000000000e+00j), (1.030000000000000000e+03+0.000000000000000000e+00j), (-3.874213397502899170e-01+3.184914588928222656e-01j), (7.682438492774963379e-01-7.316116690635681152e-01j), (7.509680986404418945e-01-1.127353668212890625e+00j), (-1.373950362205505371e+00+3.549166619777679443e-01j), (-4.846127629280090332e-01+4.165926277637481689e-01j), (7.492939829826354980e-01+5.900229811668395996e-01j), (1.293064951896667480e+00+6.596789360046386719e-01j), (6.883653998374938965e-01+3.147557675838470459e-01j), (-2.628600299358367920e-01-5.435100793838500977e-01j), (-6.162948012351989746e-01-1.329901695251464844e+00j), (-3.702884912490844727e-01-1.009399294853210449e+00j), (-7.033137977123260498e-02+2.655968964099884033e-01j), (-2.372654974460601807e-01+1.363941669464111328e+00j), (1.193158745765686035e+00-6.360711455345153809e-01j), (-1.074801981449127197e-01+2.955515496432781219e-02j), (8.135450482368469238e-01+6.384700536727905273e-01j), (0.000000000000000000e+00+0.000000000000000000e+00j)
