# Mach-Number Intake,Mach-Number Outlet,temperature Intake,temperature Outlet,f,Mic1,Mic2,Mic3,Mic4,Mic5,Mic6,case
 (1.725599616765975952e-01+0.000000000000000000e+00j), (5.615864694118499756e-02+0.000000000000000000e+00j), (3.006212768554687500e+02+0.000000000000000000e+00j), (3.547963562011718750e+02+0.000000000000000000e+00j), (1.000000000000000000e+03+0.000000000000000000e+00j), (2.560209715738892555e-03+3.334765136241912842e-02j), (-1.026498270221054554e-03+2.491520531475543976e-02j), (2.938259765505790710e-02+1.340943574905395508e-02j), (-1.398379536112770438e-04-2.098853699862957001e-03j), (-8.474662317894399166e-04-2.373167546465992928e-03j), (5.144008900970220566e-04+1.289317850023508072e-03j), (0.000000000000000000e+00+0.000000000000000000e+00j)
 (1.725599616765975952e-01+0.000000000000000000e+00j), (5.615864694118499756e-02+0.000000000000000000e+00j), (3.006212768554687500e+02+0.000000000000000000e+00j), (3.547963562011718750e+02+0.000000000000000000e+00j), (1.000000000000000000e+03+0.000000000000000000e+00j), (-4.268477484583854675e-02+6.392135471105575562e-02j), (-3.630441799759864807e-02+4.296088218688964844e-02j), (3.378268703818321228e-02+6.600943207740783691e-02j), (2.126623643562197685e-03-3.825867548584938049e-03j), (1.297340495511889458e-03-4.641459323465824127e-03j), (-6.041049491614103317e-04+2.901456784456968307e-03j), (1.000000000000000000e+00+0.000000000000000000e+00j)
 (1.725599616765975952e-01+0.000000000000000000e+00j), (5.615864694118499756e-02+0.000000000000000000e+00j), (3.006212768554687500e+02+0.000000000000000000e+00j), (3.547963562011718750e+02+0.000000000000000000e+00j), (1.000000000000000000e+03+0.000000000000000000e+00j), (9.613642469048500061e-04+3.637250338215380907e-04j), (8.629295043647289276e-04-4.137061769142746925e-04j), (7.130394806154072285e-04-3.229096764698624611e-04j), (1.294070016592741013e-02-2.591685019433498383e-02j), (1.845033653080463409e-02+1.939258305355906487e-03j), (-5.967968609184026718e-03-2.592452429234981537e-02j), (2.000000000000000000e+00+0.000000000000000000e+00j)
 (1.725599616765975952e-01+0.000000000000000000e+00j), (5.615864694118499756e-02+0.000000000000000000e+00j), (3.006212768554687500e+02+0.000000000000000000e+00j), (3.547963562011718750e+02+0.000000000000000000e+00j), (1.000000000000000000e+03+0.000000000000000000e+00j), (1.370192971080541611e-03+6.232214509509503841e-04j), (1.769554219208657742e-03-8.127710316330194473e-04j), (1.082600327208638191e-03-3.407707554288208485e-04j), (2.657252363860607147e-02-4.493648558855056763e-02j), (3.020835481584072113e-02+2.384542254731059074e-03j), (-4.927153233438730240e-03-4.230897873640060425e-02j), (3.000000000000000000e+00+0.000000000000000000e+00j)
 (1.726912558078765869e-01+0.000000000000000000e+00j), (5.657439306378364563e-02+0.000000000000000000e+00j), (3.005731506347656250e+02+0.000000000000000000e+00j), (3.548204040527343750e+02+0.000000000000000000e+00j), (1.010000000000000000e+03+0.000000000000000000e+00j), (1.267044339329004288e-02+2.825473994016647339e-02j), (5.928095430135726929e-03+2.024843357503414154e-02j), (3.103572875261306763e-02+2.779474249109625816e-03j), (-8.422564715147018433e-04-1.071446924470365047e-03j), (-1.278259442187845707e-03-1.036206376738846302e-03j), (8.170782239176332951e-04+6.017250125296413898e-04j), (0.000000000000000000e+00+0.000000000000000000e+00j)
 (1.726912558078765869e-01+0.000000000000000000e+00j), (5.657439306378364563e-02+0.000000000000000000e+00j), (3.005731506347656250e+02+0.000000000000000000e+00j), (3.548204040527343750e+02+0.000000000000000000e+00j), (1.010000000000000000e+03+0.000000000000000000e+00j), (-1.840967871248722076e-02+7.077184319496154785e-02j), (-1.815393567085266113e-02+4.462469369173049927e-02j), (5.213053524494171143e-02+5.098285898566246033e-02j), (1.411670673405751586e-04-3.476180601865053177e-03j), (-8.645254420116543770e-04-4.096086602658033371e-03j), (8.198706782422959805e-04+2.605209127068519592e-03j), (1.000000000000000000e+00+0.000000000000000000e+00j)
 (1.726912558078765869e-01+0.000000000000000000e+00j), (5.657439306378364563e-02+0.000000000000000000e+00j), (3.005731506347656250e+02+0.000000000000000000e+00j), (3.548204040527343750e+02+0.000000000000000000e+00j), (1.010000000000000000e+03+0.000000000000000000e+00j), (9.194838348776102066e-04-1.129082011175341904e-04j), (7.681332062929868698e-04-7.852874114178121090e-04j), (5.274551222100853920e-04-3.933449333999305964e-04j), (7.425104733556509018e-03-2.757075056433677673e-02j), (2.054708078503608704e-02+9.905680781230330467e-04j), (-1.221768651157617569e-02-2.854489535093307495e-02j), (2.000000000000000000e+00+0.000000000000000000e+00j)
 (1.726912558078765869e-01+0.000000000000000000e+00j), (5.657439306378364563e-02+0.000000000000000000e+00j), (3.005731506347656250e+02+0.000000000000000000e+00j), (3.548204040527343750e+02+0.000000000000000000e+00j), (1.010000000000000000e+03+0.000000000000000000e+00j), (1.261299476027488708e-03+2.160581288990215398e-06j), (1.078559784218668938e-03-9.082427714020013809e-04j), (7.143646944314241409e-04-3.640172362793236971e-04j), (1.544919796288013458e-02-4.400957375764846802e-02j), (3.104662522673606873e-02+2.504508942365646362e-03j), (-1.392276305705308914e-02-4.554591327905654907e-02j), (3.000000000000000000e+00+0.000000000000000000e+00j)
 (1.726509183645248413e-01+0.000000000000000000e+00j), (5.651167780160903931e-02+0.000000000000000000e+00j), (3.005810241699218750e+02+0.000000000000000000e+00j), (3.548624877929687500e+02+0.000000000000000000e+00j), (1.020000000000000000e+03+0.000000000000000000e+00j), (2.299290709197521210e-02+1.941743865609169006e-02j), (1.047904510051012039e-02+1.279301289469003677e-02j), (2.924890816211700439e-02-1.060444768518209457e-02j), (-1.319552771747112274e-03-8.370032883249223232e-04j), (-2.190198516473174095e-03-6.380397826433181763e-04j), (1.462821499444544315e-03+3.257031494285911322e-04j), (0.000000000000000000e+00+0.000000000000000000e+00j)
 (1.726509183645248413e-01+0.000000000000000000e+00j), (5.651167780160903931e-02+0.000000000000000000e+00j), (3.005810241699218750e+02+0.000000000000000000e+00j), (3.548624877929687500e+02+0.000000000000000000e+00j), (1.020000000000000000e+03+0.000000000000000000e+00j), (9.775684215128421783e-03+7.247852534055709839e-02j), (-1.923913368955254555e-03+3.888735920190811157e-02j), (7.011955231428146362e-02+2.907843329012393951e-02j), (-6.436523981392383575e-04-3.124373266473412514e-03j), (-2.241382841020822525e-03-3.967767115682363510e-03j), (1.646772376261651516e-03+2.590948250144720078e-03j), (1.000000000000000000e+00+0.000000000000000000e+00j)
 (1.726509183645248413e-01+0.000000000000000000e+00j), (5.651167780160903931e-02+0.000000000000000000e+00j), (3.005810241699218750e+02+0.000000000000000000e+00j), (3.548624877929687500e+02+0.000000000000000000e+00j), (1.020000000000000000e+03+0.000000000000000000e+00j), (6.035696133039891720e-04-2.159211289836093783e-04j), (2.853795012924820185e-04-9.662908269092440605e-04j), (2.192696993006393313e-04-4.374463751446455717e-04j), (4.834817373193800449e-04-2.467999607324600220e-02j), (2.247917465865612030e-02-1.532284775748848915e-03j), (-2.106631547212600708e-02-2.616555988788604736e-02j), (2.000000000000000000e+00+0.000000000000000000e+00j)
